"Var1","Freq"
"",1
"Albany Park",10
"Archer Heights",4
"Armour Square",1
"Ashburn",13
"Auburn Gresham",57
"Austin",105
"Avalon Park",10
"Avondale",8
"Belmont Cragin",9
"Beverly",1
"Bridgeport",5
"Brighton Park",20
"Burnside",8
"Calumet Heights",7
"Chatham",34
"Chicago Lawn",43
"Clearing",3
"Douglas",8
"Dunning",4
"East Garfield Park",35
"East Garfield Pk",3
"East Side",6
"Edgewater",9
"Englewood",55
"Forest Glen",2
"Fuller Park",3
"Gage Park",26
"Garfield Ridge",9
"Grand Blvd.",7
"Grand Boulevard",23
"Greater Grand Crossing",61
"Hegewisch",2
"Hermosa",9
"Humboldt Park",79
"Hyde Park",2
"Irving Park",10
"Jefferson Park",1
"Kenwood",4
"Lakeview",1
"Lincoln Park",3
"Lincoln Square",1
"Logan Square",14
"Loop",4
"Lower West Side",17
"McKinley Park",5
"Montclare",4
"Morgan Park",21
"Near North Side",8
"Near South Side",3
"Near West Side",28
"New City",37
"North Center",4
"North Lawndale",58
"North Park",2
"Norwood Park",1
"Oakland",3
"Portage Park",4
"Pullman",2
"Riverdale",9
"Rogers Park",10
"Roseland",60
"South Chicago",49
"South Deering",10
"South Lawndale",45
"South Shore",57
"Uptown",9
"Washington Heights",20
"Washington Park",22
"West Elsdon",3
"West Englewood",74
"West Garfield Park",44
"West Garfield Pk",1
"West Lawn",7
"West Pullman",30
"West Ridge",5
"West Town",21
"Woodlawn",30
